time,Fz,Mx,My,Mz
6.000000000000000000e+00,1.446597862243652344e+01,1.113065984100103378e-02,-2.943249978125095367e-02,7.197101949714124203e-04
6.009999999999999787e+00,1.358440399169921875e+01,7.776688107696827501e-06,1.560153253376483917e-02,-4.032195080071687698e-03
6.020000000000000462e+00,1.452118301391601562e+01,9.235758334398269653e-03,-2.515891380608081818e-02,5.185229238122701645e-04
6.030000000000000249e+00,1.357328891754150391e+01,-4.866415692958980799e-04,2.066022716462612152e-02,-4.028201568871736526e-03
6.040000000000000036e+00,1.446992492675781250e+01,7.965241558849811554e-03,-1.929660513997077942e-02,1.300287985941395164e-04
6.049999999999999822e+00,1.351943302154541016e+01,7.754861726425588131e-04,2.732741087675094604e-02,-3.623459022492170334e-03
6.060000000000000497e+00,1.435598468780517578e+01,9.409689344465732574e-03,-1.341401506215333939e-02,3.930618404410779476e-04
6.070000000000000284e+00,1.340325546264648438e+01,2.943413564935326576e-03,3.321323543787002563e-02,-3.608050988987088203e-03
6.080000000000000071e+00,1.419761657714843750e+01,1.173634547740221024e-02,-8.103290572762489319e-03,2.041508560068905354e-04
6.089999999999999858e+00,1.325708293914794922e+01,6.117472425103187561e-03,3.728788346052169800e-02,-4.393955692648887634e-03
6.100000000000000533e+00,1.403407859802246094e+01,1.431976817548274994e-02,-3.934809938073158264e-03,-1.229627290740609169e-03
6.110000000000000320e+00,1.312214183807373047e+01,9.341985918581485748e-03,3.994182497262954712e-02,-6.178650073707103729e-03
6.120000000000000107e+00,1.390762710571289062e+01,1.630134694278240204e-02,-1.873242901638150215e-03,-3.297096118330955505e-03
6.129999999999999893e+00,1.296235847473144531e+01,1.132856495678424835e-02,3.994194418191909790e-02,-7.572441827505826950e-03
6.140000000000000568e+00,1.378359603881835938e+01,1.678921841084957123e-02,-2.028709976002573967e-03,-4.951871000230312347e-03
6.150000000000000355e+00,1.283551597595214844e+01,1.181487832218408585e-02,3.798038139939308167e-02,-8.634455502033233643e-03
6.160000000000000142e+00,1.368689823150634766e+01,1.574737019836902618e-02,-4.380874335765838623e-03,-5.849493201822042465e-03
6.169999999999999929e+00,1.277273845672607422e+01,1.107992697507143021e-02,3.441150486469268799e-02,-9.154283441603183746e-03
6.179999999999999716e+00,1.364627265930175781e+01,1.297290902584791183e-02,-7.721457164734601974e-03,-5.927321035414934158e-03
6.190000000000000391e+00,1.271347713470458984e+01,9.394881315529346466e-03,2.839628420770168304e-02,-9.056203998625278473e-03
6.200000000000000178e+00,1.357847595214843750e+01,9.939950890839099884e-03,-1.521592400968074799e-02,-5.484433844685554504e-03
6.209999999999999964e+00,1.267396259307861328e+01,7.128321100026369095e-03,1.978351175785064697e-02,-8.320501074194908142e-03
6.219999999999999751e+00,1.356935310363769531e+01,5.523201543837785721e-03,-2.221971191465854645e-02,-3.961914218962192535e-03
6.230000000000000426e+00,1.272045326232910156e+01,2.686420455574989319e-03,1.307896524667739868e-02,-6.710110697895288467e-03
6.240000000000000213e+00,1.365734481811523438e+01,-7.216141093522310257e-04,-2.741818316280841827e-02,-1.691020792350172997e-03
6.250000000000000000e+00,1.286872577667236328e+01,-3.349752165377140045e-03,8.668203838169574738e-03,-4.585138522088527679e-03
6.259999999999999787e+00,1.379085540771484375e+01,-9.028841741383075714e-03,-3.020480275154113770e-02,1.473951851949095726e-03
6.270000000000000462e+00,1.307928657531738281e+01,-1.043965108692646027e-02,6.964879576116800308e-03,-2.373526338487863541e-03
